               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,           0.0094176,           0.0058375,            0.001657,             0.99744,                   1,               0.995,             0.96652,           0.0021039,           0.0011673,          0.00011416,            0.009439,            0.009439,            0.009439
                  36,           0.0096051,           0.0059488,           0.0028137,             0.99666,                   1,               0.995,             0.95169,           0.0023358,           0.0012356,          0.00012664,           0.0094225,           0.0094225,           0.0094225
                  37,            0.010079,           0.0059792,           0.0027046,             0.99726,                   1,               0.995,             0.96109,            0.002135,           0.0012514,           0.0001404,            0.009406,            0.009406,            0.009406
                  38,           0.0092972,           0.0059326,           0.0018279,              0.9968,                   1,               0.995,             0.95904,           0.0022574,           0.0012951,          0.00011032,           0.0093895,           0.0093895,           0.0093895
                  39,            0.009776,           0.0061267,           0.0029451,             0.99762,             0.99927,               0.995,             0.94232,           0.0025615,           0.0013513,          0.00016975,            0.009373,            0.009373,            0.009373
                  40,           0.0099808,           0.0060476,           0.0025796,             0.99723,                   1,               0.995,             0.93352,           0.0022962,           0.0013626,          0.00015837,           0.0093565,           0.0093565,           0.0093565
                  41,           0.0096234,           0.0061992,           0.0033617,             0.99704,             0.99914,               0.995,             0.93387,           0.0027767,           0.0013748,          8.0266e-05,             0.00934,             0.00934,             0.00934
                  42,           0.0095646,           0.0061675,           0.0029372,             0.99763,             0.99943,               0.995,             0.95156,           0.0022597,           0.0012315,          0.00010188,           0.0093235,           0.0093235,           0.0093235
                  43,           0.0096701,           0.0061525,           0.0026743,             0.99675,                   1,               0.995,             0.95991,           0.0022073,           0.0012072,          0.00010801,            0.009307,            0.009307,            0.009307
                  44,           0.0099061,           0.0059403,            0.002706,             0.99774,              0.9996,               0.995,             0.94855,           0.0024477,           0.0013786,          0.00011273,           0.0092905,           0.0092905,           0.0092905
                  45,           0.0097393,             0.00602,           0.0024176,             0.99619,                   1,               0.995,             0.94994,           0.0022563,           0.0012365,           0.0001524,            0.009274,            0.009274,            0.009274
                  46,           0.0095806,           0.0060645,           0.0023873,             0.99713,                   1,               0.995,             0.96493,           0.0021931,           0.0013511,          7.8559e-05,           0.0092575,           0.0092575,           0.0092575
                  47,           0.0094621,            0.005944,           0.0021927,             0.99607,                   1,               0.995,             0.94363,           0.0025427,           0.0014162,          0.00010411,            0.009241,            0.009241,            0.009241
                  48,           0.0088717,           0.0059656,           0.0025511,             0.99718,                   1,               0.995,             0.95387,           0.0022491,            0.001319,          0.00012206,           0.0092245,           0.0092245,           0.0092245
                  49,           0.0096241,           0.0061392,           0.0033554,             0.99752,                   1,               0.995,             0.93672,           0.0024309,           0.0014828,          9.7017e-05,            0.009208,            0.009208,            0.009208
                  50,           0.0093688,           0.0059766,           0.0029393,             0.99691,                   1,               0.995,             0.94041,           0.0023086,           0.0014377,          0.00012508,           0.0091915,           0.0091915,           0.0091915
                  51,           0.0090004,           0.0059242,           0.0026307,             0.99102,                   1,               0.995,             0.95672,           0.0021227,           0.0013913,          0.00013576,            0.009175,            0.009175,            0.009175
