               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.013913,           0.0083441,           0.0040843,             0.99007,             0.99783,               0.995,              0.8536,           0.0043716,           0.0019055,          0.00016275,            0.009439,            0.009439,            0.009439
                  36,            0.015192,           0.0085485,           0.0049656,             0.98978,                   1,               0.995,               0.872,           0.0038985,           0.0018586,          0.00018746,           0.0094225,           0.0094225,           0.0094225
                  37,            0.014934,           0.0082634,           0.0046335,             0.99312,                   1,               0.995,             0.88895,           0.0036069,           0.0018072,          0.00025617,            0.009406,            0.009406,            0.009406
                  38,             0.01381,           0.0081545,           0.0041361,             0.98797,                   1,               0.995,             0.85175,           0.0044672,           0.0019464,          0.00027254,           0.0093895,           0.0093895,           0.0093895
                  39,            0.014338,           0.0084051,           0.0046967,             0.99334,             0.99918,               0.995,             0.90398,           0.0032731,            0.001779,          0.00039614,            0.009373,            0.009373,            0.009373
                  40,            0.014185,           0.0082706,           0.0046701,             0.99353,             0.99822,               0.995,             0.89619,           0.0034111,           0.0018835,          0.00022249,           0.0093565,           0.0093565,           0.0093565
                  41,            0.013874,           0.0081314,           0.0050048,             0.99599,             0.99966,               0.995,             0.91383,           0.0031877,           0.0016275,          0.00020792,             0.00934,             0.00934,             0.00934
                  42,            0.014374,            0.008166,           0.0045538,             0.99477,                   1,               0.995,             0.88762,           0.0033938,           0.0017433,           0.0002288,           0.0093235,           0.0093235,           0.0093235
                  43,            0.013326,           0.0080126,            0.004445,             0.99659,             0.99613,               0.995,             0.90711,            0.003246,           0.0017349,          0.00026728,            0.009307,            0.009307,            0.009307
                  44,            0.014323,           0.0080151,           0.0048615,              0.9904,                   1,               0.995,             0.90654,           0.0030318,           0.0017702,          0.00022616,           0.0092905,           0.0092905,           0.0092905
                  45,            0.014489,           0.0081905,           0.0051589,             0.99332,                   1,               0.995,             0.88083,           0.0038922,           0.0017103,          0.00024785,            0.009274,            0.009274,            0.009274
                  46,            0.014076,           0.0081133,           0.0046559,              0.9967,                   1,               0.995,             0.90941,           0.0031099,           0.0016682,          0.00017564,           0.0092575,           0.0092575,           0.0092575
                  47,            0.014123,           0.0081803,            0.004219,             0.99673,                   1,               0.995,             0.88768,           0.0036093,            0.001662,          0.00021136,            0.009241,            0.009241,            0.009241
                  48,            0.013224,           0.0079865,           0.0037935,             0.99562,                   1,               0.995,             0.91333,             0.00331,           0.0016964,           0.0001846,           0.0092245,           0.0092245,           0.0092245
                  49,            0.013735,           0.0079341,            0.004851,             0.99405,                   1,               0.995,             0.91412,           0.0035119,           0.0016957,           0.0002094,            0.009208,            0.009208,            0.009208
                  50,            0.013075,           0.0077793,           0.0042041,              0.9945,             0.99361,               0.995,             0.87942,           0.0037323,           0.0017406,          0.00027064,           0.0091915,           0.0091915,           0.0091915
                  51,            0.012448,           0.0077204,            0.003838,             0.99491,             0.99632,               0.995,             0.88777,           0.0036827,           0.0017777,          0.00014742,            0.009175,            0.009175,            0.009175
                  52,            0.013983,           0.0078969,           0.0040042,             0.99759,             0.99992,               0.995,             0.91435,           0.0034702,           0.0015719,          0.00019927,           0.0091585,           0.0091585,           0.0091585
                  53,            0.013643,           0.0075655,           0.0041523,             0.99599,                   1,               0.995,             0.90895,           0.0033054,           0.0016811,          0.00018169,            0.009142,            0.009142,            0.009142
                  54,             0.01343,           0.0078302,           0.0039723,             0.99449,                   1,               0.995,             0.90541,           0.0034567,           0.0017841,          0.00022049,           0.0091255,           0.0091255,           0.0091255
                  55,            0.013385,           0.0077839,           0.0038498,             0.99621,                   1,               0.995,             0.90878,           0.0030511,           0.0016602,           0.0001704,            0.009109,            0.009109,            0.009109
                  56,            0.014126,           0.0074383,           0.0034522,             0.99594,                   1,               0.995,             0.91595,           0.0031489,           0.0018036,          0.00018309,           0.0090925,           0.0090925,           0.0090925
                  57,            0.012941,           0.0075912,           0.0037889,             0.99367,                   1,               0.995,             0.87154,           0.0039765,           0.0017707,          0.00014028,            0.009076,            0.009076,            0.009076
                  58,            0.012457,           0.0075348,           0.0038193,             0.98661,             0.99828,               0.995,             0.90484,           0.0033251,           0.0017065,          0.00018834,           0.0090595,           0.0090595,           0.0090595
                  59,            0.012815,           0.0077133,           0.0044038,              0.9944,             0.99855,               0.995,             0.90761,           0.0030943,           0.0016658,          0.00013665,            0.009043,            0.009043,            0.009043
                  60,            0.012434,           0.0077923,           0.0035353,              0.9968,                   1,               0.995,             0.90735,           0.0035556,           0.0016648,          0.00015672,           0.0090265,           0.0090265,           0.0090265
                  61,            0.012549,           0.0077785,           0.0035871,              0.9973,                   1,               0.995,             0.91755,           0.0029344,           0.0015408,          0.00019503,             0.00901,             0.00901,             0.00901
                  62,            0.012774,           0.0075759,            0.002889,             0.99747,                   1,               0.995,             0.92998,           0.0027401,            0.001532,          0.00015638,           0.0089935,           0.0089935,           0.0089935
                  63,            0.012818,            0.007393,           0.0038172,             0.99571,                   1,               0.995,             0.91651,           0.0030376,           0.0016022,          0.00023776,            0.008977,            0.008977,            0.008977
                  64,            0.012291,           0.0073777,           0.0034269,             0.99543,                   1,               0.995,             0.91814,           0.0029271,           0.0015115,          0.00017819,           0.0089605,           0.0089605,           0.0089605
                  65,            0.012083,           0.0073866,           0.0031935,             0.99663,             0.99947,               0.995,             0.92176,           0.0028936,           0.0016201,          0.00014979,            0.008944,            0.008944,            0.008944
                  66,            0.012018,           0.0073279,           0.0032773,             0.99542,             0.99945,               0.995,             0.92182,           0.0028269,           0.0014715,          0.00015863,           0.0089275,           0.0089275,           0.0089275
